threshold_mm,n_years_rain,n_years_hail,return_period_rain_yr,return_period_joint_yr,n_total_years
20,76,74,1.0,1.027027027027027,76
30,76,61,1.0,1.2459016393442623,76
40,76,45,1.0,1.6888888888888889,76
50,75,29,1.0133333333333334,2.6206896551724137,76
60,65,12,1.1692307692307693,6.333333333333333,76
70,49,9,1.5510204081632653,8.444444444444445,76
78,33,3,2.303030303030303,25.333333333333332,76
80,29,3,2.6206896551724137,25.333333333333332,76
90,16,2,4.75,38.0,76
100,7,1,10.857142857142858,76.0,76
110,3,1,25.333333333333332,76.0,76
120,1,1,76.0,76.0,76
130,1,1,76.0,76.0,76
140,1,1,76.0,76.0,76
150,0,0,76.0,inf,76
160,0,0,76.0,inf,76
